DataSet,n_antibodies,rho,beta,replace_rate,selection_rate,k,KMeans_Silhouette,ClonalG_Media,ClonalG_Desvio,ClonalG_Melhor,ClonalG_Pior,Delta_Media_vs_KMeans
1,10,1.0,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,1.0,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,1.0,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,1.0,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,10,2.5,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,1.0,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.05,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.05,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.2,0.5,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
1,20,2.5,10,0.2,0.85,3,0.6479626689290785,0.6479626689290785,0.0,0.6479626689290785,0.6479626689290785,0.0
2,10,2.5,10,0.2,0.85,5,0.4185209488361204,0.4167393181905327,0.0,0.4167393181905327,0.4167393181905327,-0.001781630645587673
2,20,1.0,10,0.2,0.5,5,0.4185209488361204,0.41564556182678597,0.0,0.41564556182678597,0.41564556182678597,-0.002875387009334429
2,20,1.0,10,0.05,0.85,5,0.4185209488361204,0.41488561011745506,0.0,0.41488561011745506,0.41488561011745506,-0.0036353387186653374
2,20,2.5,10,0.05,0.85,5,0.4185209488361204,0.41441292107736866,0.0,0.41441292107736866,0.41441292107736866,-0.004108027758751742
2,20,1.0,10,0.05,0.5,5,0.4185209488361204,0.4116383338246821,0.0,0.4116383338246821,0.4116383338246821,-0.006882615011438276
2,10,2.5,10,0.05,0.85,5,0.4185209488361204,0.4069519127254577,0.0,0.4069519127254577,0.4069519127254577,-0.011569036110662678
2,20,1.0,10,0.2,0.85,5,0.4185209488361204,0.4057820477367136,0.0,0.4057820477367136,0.4057820477367136,-0.012738901099406785
2,10,1.0,10,0.2,0.85,5,0.4185209488361204,0.402316291920292,0.0,0.402316291920292,0.402316291920292,-0.016204656915828397
2,10,1.0,10,0.05,0.85,5,0.4185209488361204,0.3947102647894182,0.0,0.3947102647894182,0.3947102647894182,-0.023810684046702224
2,10,2.5,10,0.2,0.5,5,0.4185209488361204,0.378884730463437,0.0,0.378884730463437,0.378884730463437,-0.039636218372683385
2,20,2.5,10,0.05,0.5,5,0.4185209488361204,0.3772000835701837,0.0,0.3772000835701837,0.3772000835701837,-0.0413208652659367
2,10,2.5,10,0.05,0.5,5,0.4185209488361204,0.37699837214632925,0.0,0.37699837214632925,0.37699837214632925,-0.041522576689791146
2,20,2.5,10,0.2,0.5,5,0.4185209488361204,0.376595873609154,0.0,0.376595873609154,0.376595873609154,-0.041925075226966424
2,10,1.0,10,0.2,0.5,5,0.4185209488361204,0.37638739182962927,0.0,0.37638739182962927,0.37638739182962927,-0.04213355700649113
2,20,2.5,10,0.2,0.85,5,0.4185209488361204,0.37101245444266917,0.0,0.37101245444266917,0.37101245444266917,-0.04750849439345123
2,10,1.0,10,0.05,0.5,5,0.4185209488361204,0.2769138998909917,0.0,0.2769138998909917,0.2769138998909917,-0.1416070489451287
3,20,2.5,10,0.2,0.85,6,0.22206807318953195,0.22437633258690923,0.0,0.22437633258690923,0.22437633258690923,0.002308259397377277
3,10,2.5,10,0.05,0.85,6,0.22206807318953195,0.22336526303279858,0.0,0.22336526303279858,0.22336526303279858,0.0012971898432666273
3,20,2.5,10,0.05,0.85,6,0.22206807318953195,0.22017677148605722,0.0,0.22017677148605722,0.22017677148605722,-0.0018913017034747348
3,20,1.0,10,0.2,0.85,6,0.22206807318953195,0.2161136286958146,0.0,0.2161136286958146,0.2161136286958146,-0.005954444493717348
3,20,1.0,10,0.2,0.5,6,0.22206807318953195,0.2160189459952057,0.0,0.2160189459952057,0.2160189459952057,-0.006049127194326237
3,20,2.5,10,0.2,0.5,6,0.22206807318953195,0.21596335848788806,0.0,0.21596335848788806,0.21596335848788806,-0.006104714701643893
3,20,2.5,10,0.05,0.5,6,0.22206807318953195,0.21590287036662525,0.0,0.21590287036662525,0.21590287036662525,-0.006165202822906696
3,10,2.5,10,0.2,0.85,6,0.22206807318953195,0.21488990136250113,0.0,0.21488990136250113,0.21488990136250113,-0.007178171827030816
3,10,1.0,10,0.2,0.5,6,0.22206807318953195,0.21229039193088226,0.0,0.21229039193088226,0.21229039193088226,-0.009777681258649695
3,20,1.0,10,0.05,0.85,6,0.22206807318953195,0.2119628916899444,0.0,0.2119628916899444,0.2119628916899444,-0.010105181499587557
3,10,2.5,10,0.2,0.5,6,0.22206807318953195,0.20726167636305642,0.0,0.20726167636305642,0.20726167636305642,-0.014806396826475526
3,10,1.0,10,0.05,0.5,6,0.22206807318953195,0.20570949858725393,0.0,0.20570949858725393,0.20570949858725393,-0.01635857460227802
3,20,1.0,10,0.05,0.5,6,0.22206807318953195,0.20533945328252,0.0,0.20533945328252,0.20533945328252,-0.016728619907011938
3,10,1.0,10,0.2,0.85,6,0.22206807318953195,0.20242583565717678,0.0,0.20242583565717678,0.20242583565717678,-0.019642237532355167
3,10,2.5,10,0.05,0.5,6,0.22206807318953195,0.20228681003142426,0.0,0.20228681003142426,0.20228681003142426,-0.019781263158107687
3,10,1.0,10,0.05,0.85,6,0.22206807318953195,0.19644499787412603,0.0,0.19644499787412603,0.19644499787412603,-0.02562307531540592
4,10,1.0,10,0.05,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,1.0,10,0.05,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,1.0,10,0.2,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,1.0,10,0.2,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,2.5,10,0.05,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,2.5,10,0.05,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,2.5,10,0.2,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,10,2.5,10,0.2,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,1.0,10,0.05,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,1.0,10,0.05,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,1.0,10,0.2,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,1.0,10,0.2,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,2.5,10,0.05,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,2.5,10,0.05,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,2.5,10,0.2,0.5,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
4,20,2.5,10,0.2,0.85,4,0.5865799782279477,0.590540010127168,0.0,0.590540010127168,0.590540010127168,0.003960031899220229
5,10,1.0,10,0.05,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,1.0,10,0.05,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,1.0,10,0.2,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,2.5,10,0.05,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,2.5,10,0.2,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,2.5,10,0.05,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,2.5,10,0.2,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,1.0,10,0.05,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,2.5,10,0.05,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,1.0,10,0.05,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,1.0,10,0.2,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,1.0,10,0.2,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,2.5,10,0.2,0.5,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,2.5,10,0.05,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,20,2.5,10,0.2,0.85,2,0.6643575754503649,0.6643575754503649,0.0,0.6643575754503649,0.6643575754503649,0.0
5,10,1.0,10,0.2,0.85,2,0.6643575754503649,0.6600501757130097,0.0,0.6600501757130097,0.6600501757130097,-0.0043073997373551665
